coleccion,diseno,tipo,archivo_zip,archivo_original
04_Espacio,04_Vortice_Cosmico,Principal,04_Espacio/04_Vortice_Cosmico/01_Principal_36x17.png,panorama_cósmica_con_vórtice_energético.png
04_Espacio,04_Vortice_Cosmico,Demo de escritorio,04_Espacio/04_Vortice_Cosmico/02_Demo_Escritorio.png,estación_de_trabajo_gamer_cósmica.png
04_Espacio,05_Mapa_Celestial,Principal,04_Espacio/05_Mapa_Celestial/01_Principal_36x17.png,mapa_celestial_decorado_con_geometría_dorada.png
04_Espacio,05_Mapa_Celestial,Demo de escritorio,04_Espacio/05_Mapa_Celestial/02_Demo_Escritorio.png,escritorio_moderno_con_temática_espacial.png
05_Bitcoin,01_Amanecer_Cyber_Bitcoin,Principal,05_Bitcoin/01_Amanecer_Cyber_Bitcoin/01_Principal_36x17.png,bitcoin_celestial_sunrise_over_cyber_mountains.png
05_Bitcoin,01_Amanecer_Cyber_Bitcoin,Demo de escritorio,05_Bitcoin/01_Amanecer_Cyber_Bitcoin/02_Demo_Escritorio.png,escritorio_futurista_con_paisaje_de_bitcoin.png
05_Bitcoin,02_Blockchain_Oro_y_Negro,Principal,05_Bitcoin/02_Blockchain_Oro_y_Negro/01_Principal_36x17.png,blockchain_futurista_en_oro_y_negro.png
05_Bitcoin,02_Blockchain_Oro_y_Negro,Demo de escritorio,05_Bitcoin/02_Blockchain_Oro_y_Negro/02_Demo_Escritorio.png,estación_de_trabajo_criptográfica_futurista.png
05_Bitcoin,03_Red_Dorada,Principal,05_Bitcoin/03_Red_Dorada/01_Principal_36x17.png,red_de_oro_y_cibernética.png
05_Bitcoin,03_Red_Dorada,Demo de escritorio,05_Bitcoin/03_Red_Dorada/02_Demo_Escritorio.png,configuración_de_escritorio_de_tecnología_y_lujo.png
05_Bitcoin,04_Mapa_Financiero_Vintage,Principal,05_Bitcoin/04_Mapa_Financiero_Vintage/01_Principal_36x17.png,mapa_financiero_vintage_con_criptomonedas.png
05_Bitcoin,04_Mapa_Financiero_Vintage,Demo de escritorio,05_Bitcoin/04_Mapa_Financiero_Vintage/02_Demo_Escritorio.png,escritorio_vintage_con_detalles_ciclométricos.png
05_Bitcoin,05_Ciudad_Crypto,Principal,05_Bitcoin/05_Ciudad_Crypto/01_Principal_36x17.png,ciudad_cibernética_futurista_en_la_noche.png
05_Bitcoin,05_Ciudad_Crypto,Demo de escritorio,05_Bitcoin/05_Ciudad_Crypto/02_Demo_Escritorio.png,escritorio_futurista_con_ciudad_cripto.png
06_Futbol,01_Balon_en_la_Linea,Principal,06_Futbol/01_Balon_en_la_Linea/01_Principal_36x17.png,balón_en_la_línea_bajo_luces_intensas.png
06_Futbol,01_Balon_en_la_Linea,Demo de escritorio,06_Futbol/01_Balon_en_la_Linea/02_Demo_Escritorio.png,escritorio_moderno_con_temática_deportiva.png
06_Futbol,02_Pizarra_Tactica,Principal,06_Futbol/02_Pizarra_Tactica/01_Principal_36x17.png,gráfico_táctico_de_fútbol_dinámico.png
06_Futbol,02_Pizarra_Tactica,Demo de escritorio,06_Futbol/02_Pizarra_Tactica/02_Demo_Escritorio.png,escritorio_moderno_con_tapete_de_fútbol.png
06_Futbol,03_Guardameta_Electrico,Principal,06_Futbol/03_Guardameta_Electrico/01_Principal_36x17.png,el_guardameta_y_la_pelota_electrificada.png
06_Futbol,03_Guardameta_Electrico,Demo de escritorio,06_Futbol/03_Guardameta_Electrico/02_Demo_Escritorio.png,esquina_gamer_en_tonos_oscuros.png
06_Futbol,04_Vuelo_del_Balon,Principal,06_Futbol/04_Vuelo_del_Balon/01_Principal_36x17.png,el_vuelo_del_balón_verde.png
06_Futbol,04_Vuelo_del_Balon,Demo de escritorio,06_Futbol/04_Vuelo_del_Balon/02_Demo_Escritorio.png,configuración_de_escritorio_gamer_con_iluminación.png
06_Futbol,05_Futbol_Retro,Principal,06_Futbol/05_Futbol_Retro/01_Principal_36x17.png,collage_vintage_de_fútbol_retro.png
06_Futbol,05_Futbol_Retro,Demo de escritorio,06_Futbol/05_Futbol_Retro/02_Demo_Escritorio.png,espacio_de_trabajo_cálido_y_deportivo.png
07_Religion,01_Cena_Calida,Principal,07_Religion/01_Cena_Calida/01_Principal_36x17.png,cena_en_la_luz_cálida.png
07_Religion,01_Cena_Calida,Demo de escritorio,07_Religion/01_Cena_Calida/02_Demo_Escritorio.png,escritorio_acogedor_con_ilustración_detallada.png
07_Religion,02_Mar_Partido,Principal,07_Religion/02_Mar_Partido/01_Principal_36x17.png,el_profeta_frente_al_mar_partido.png
07_Religion,02_Mar_Partido,Demo de escritorio,07_Religion/02_Mar_Partido/02_Demo_Escritorio.png,escena_de_escritorio_con_arte_fantasioso.png
07_Religion,03_David_y_Goliat,Principal,07_Religion/03_David_y_Goliat/01_Principal_36x17.png,el_joven_guerrero_frente_al_gigante.png
07_Religion,03_David_y_Goliat,Demo de escritorio,07_Religion/03_David_y_Goliat/02_Demo_Escritorio.png,espacio_de_trabajo_inspirador_y_épico.png
07_Religion,04_Oracion_en_el_Huerto,Principal,07_Religion/04_Oracion_en_el_Huerto/01_Principal_36x17.png,oración_nocturna_en_el_huerto.png
07_Religion,04_Oracion_en_el_Huerto,Demo de escritorio,07_Religion/04_Oracion_en_el_Huerto/02_Demo_Escritorio.png,espacio_de_trabajo_nocturno_y_acogedor.png
07_Religion,05_Bautismo,Principal,07_Religion/05_Bautismo/01_Principal_36x17.png,rito_de_bautismo_al_amanecer.png
07_Religion,05_Bautismo,Demo de escritorio,07_Religion/05_Bautismo/02_Demo_Escritorio.png,espacio_de_trabajo_minimalista_con_escena_bíblica.png
07_Religion,06_Sermon_Junto_al_Lago,Principal,07_Religion/06_Sermon_Junto_al_Lago/01_Principal_36x17.png,sermón_junto_al_lago_bíblico.png
07_Religion,06_Sermon_Junto_al_Lago,Demo de escritorio,07_Religion/06_Sermon_Junto_al_Lago/02_Demo_Escritorio.png,desayuno_espiritual_en_un_escritorio_cálido.png
07_Religion,07_Amanecer_Sagrado,Principal,07_Religion/07_Amanecer_Sagrado/01_Principal_36x17.png,amanecer_sagrado_en_el_jardín_celestial.png
07_Religion,07_Amanecer_Sagrado,Demo de escritorio,07_Religion/07_Amanecer_Sagrado/02_Demo_Escritorio.png,escena_serena_de_escritorio_minimalista.png
07_Religion,08_Despues_del_Diluvio,Principal,07_Religion/08_Despues_del_Diluvio/01_Principal_36x17.png,el_amanecer_después_del_diluvio.png
07_Religion,08_Despues_del_Diluvio,Demo de escritorio,07_Religion/08_Despues_del_Diluvio/02_Demo_Escritorio.png,configuración_de_escritorio_luminosa_y_serena.png
07_Religion,09_Tormenta_Celestial,Principal,07_Religion/09_Tormenta_Celestial/01_Principal_36x17.png,la_tormenta_y_el_caminante_celestial.png
07_Religion,09_Tormenta_Celestial,Demo de escritorio,07_Religion/09_Tormenta_Celestial/02_Demo_Escritorio.png,espacio_nocturno_con_illa_y_luz_divina.png
07_Religion,10_Natividad,Principal,07_Religion/10_Natividad/01_Principal_36x17.png,escena_navideña_en_un_pesebre.png
07_Religion,10_Natividad,Demo de escritorio,07_Religion/10_Natividad/02_Demo_Escritorio.png,escena_navideña_en_escritorio_acogedor.png
07_Religion,11_Ultima_Cena_Tapiz_Extra,Principal sin demo exclusivo,07_Religion/11_Ultima_Cena_Tapiz_Extra/01_Principal_36x17.png,la_última_cena_en_tapiz_clásico.png
08_Logos,,Logo,08_Logos/01_logo_de_mexpads_minimalista_y_moderno.png,logo_de_mexpads_minimalista_y_moderno.png
08_Logos,,Logo,08_Logos/02_logo_minimalista_con_acento_naranja.png,logo_minimalista_con_acento_naranja.png
08_Logos,,Logo,08_Logos/03_logo_minimalista_con_detalles_dorados.png,logo_minimalista_con_detalles_dorados.png
08_Logos,,Logo,08_Logos/04_logo_minimalista_con_toques_naranjas.png,logo_minimalista_con_toques_naranjas.png
08_Logos,,Logo,08_Logos/05_logo_minimalista_de_mexpads.png,logo_minimalista_de_mexpads.png
08_Logos,,Logo,08_Logos/06_logo_minimalista_en_blanco_y_negro.png,logo_minimalista_en_blanco_y_negro.png
08_Logos,,Logo,08_Logos/07_logo_minimalista_en_fondo_blanco.png,logo_minimalista_en_fondo_blanco.png
08_Logos,,Logo,08_Logos/08_logo_minimalista_mexpads_con_acento_naranja.png,logo_minimalista_mexpads_con_acento_naranja.png
08_Logos,,Logo,08_Logos/09_logo_moderno_de_mexpads.png,logo_moderno_de_mexpads.png
08_Logos,,Logo,08_Logos/10_logo_moderno_en_blanco_y_negro.png,logo_moderno_en_blanco_y_negro.png
08_Logos,,Logo,08_Logos/11_logo_moderno_y_limpio_de_mexpads.png,logo_moderno_y_limpio_de_mexpads.png
08_Logos,,Logo,08_Logos/12_logotipo_minimalista_de_mexpads.png,logotipo_minimalista_de_mexpads.png
08_Logos,,Logo,08_Logos/13_logotipo_moderno_con_toques_mexicanos.png,logotipo_moderno_con_toques_mexicanos.png
08_Logos,,Logo,08_Logos/14_logotipo_moderno_en_blanco_y_negro.png,logotipo_moderno_en_blanco_y_negro.png
08_Logos,,Logo,08_Logos/15_marca_de_lujo_minimalista_y_elegante.png,marca_de_lujo_minimalista_y_elegante.png
08_Logos,,Logo,08_Logos/16_monograma_blanco_minimalista_mp.png,monograma_blanco_minimalista_mp.png
08_Logos,,Logo,08_Logos/17_monograma_geométrico_en_blanco_y_negro.png,monograma_geométrico_en_blanco_y_negro.png
08_Logos,,Logo,08_Logos/18_monograma_geométrico_moderno_y_minimalista.png,monograma_geométrico_moderno_y_minimalista.png
08_Logos,,Logo,08_Logos/19_monograma_moderno_en_blanco_y_negro.png,monograma_moderno_en_blanco_y_negro.png
08_Logos,,Logo,08_Logos/20_monograma_moderno_mp_en_transparencia.png,monograma_moderno_mp_en_transparencia.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/01_0a7c904e-8518-4056-81f3-df914a16f08b.png,0a7c904e-8518-4056-81f3-df914a16f08b.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/02_38045fc7-5ff8-4b24-819e-295ab70437f6.png,38045fc7-5ff8-4b24-819e-295ab70437f6.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/03_6a8d802b-dbe3-4b81-9064-58bab4ac3c16.png,6a8d802b-dbe3-4b81-9064-58bab4ac3c16.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/04_8b79b552-5d5c-4ee0-adc1-1f6b8a25bc0a.png,8b79b552-5d5c-4ee0-adc1-1f6b8a25bc0a.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/05_a060bbe0-93b7-4676-9e7c-85a495c54751.png,a060bbe0-93b7-4676-9e7c-85a495c54751.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/06_mousepad_estadio_nocturno_en_oferta.png,mousepad_estadio_nocturno_en_oferta.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/07_mousepad_fútbol_retro_más_vendidos.png,mousepad_fútbol_retro_más_vendidos.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/08_mousepad_gol_épico_y_teclado_gaming.png,mousepad_gol_épico_y_teclado_gaming.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/09_mousepad_personalizado_con_diseño_a_medida.png,mousepad_personalizado_con_diseño_a_medida.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/10_mousepad_táctico_para_entrenadores_de_fútbol.png,mousepad_táctico_para_entrenadores_de_fútbol.png
09_Extras_No_Emparejados,,Extra,09_Extras_No_Emparejados/11_más_vendidos_mousepad_cancha_pro.png,más_vendidos_mousepad_cancha_pro.png
